internal_id,lichess_game_id,move_number,lichess_url,fen,best_move,useful,difficulty,initiative,development,endgame,space,trading,prophylaxis,coordination,exploitingweakness,kingsafety,restriction,fixingstructure,centrecontrol,other,side_to_move,pre_move_final_eval,pre_move_psqtmat,pre_move_material_imbalance,pre_move_positional_imbalance,pre_move_closedness,pre_move_complexity,pre_move_big_center_white,big_center_black,big_center_contested,big_center_uncontrolled,pre_move_center_white,center_black,center_contested,center_uncontrolled,pre_move_white_pawns,pre_move_white_pawns_and_king_safety_with_king_and_pawns,pre_move_white_pawns_and_king_safety_without_king_and_pawns,pre_move_white_pawns_and_king_evaluation_with_king_and_pawns,pre_move_white_pawns_and_king_evaluation_without_king_and_pawns,pre_move_white_knights,pre_move_white_bishops,pre_move_white_rooks,pre_move_white_queens,pre_move_white_kings,pre_move_white_passed,pre_move_white_threats,pre_move_white_space,pre_move_white_safe_space,pre_move_black_pawns,pre_move_black_pawns_and_king_safety_with_king_and_pawns,pre_move_black_pawns_and_king_safety_without_king_and_pawns,pre_move_black_pawns_and_king_evaluation_with_king_and_pawns,pre_move_black_pawns_and_king_evaluation_without_king_and_pawns,pre_move_black_knights,pre_move_black_bishops,pre_move_black_rooks,pre_move_black_queens,pre_move_black_kings,pre_move_black_passed,pre_move_black_threats,pre_move_black_space,pre_move_black_safe_space,post_move_final_eval,post_move_psqtmat,post_move_material_imbalance,post_move_positional_imbalance,post_move_closedness,post_move_complexity,post_move_big_center_white,big_center_black,big_center_contested,big_center_uncontrolled,post_move_center_white,center_black,center_contested,center_uncontrolled,post_move_white_pawns,post_move_white_pawns_and_king_safety_with_king_and_pawns,post_move_white_pawns_and_king_safety_without_king_and_pawns,post_move_white_pawns_and_king_evaluation_with_king_and_pawns,post_move_white_pawns_and_king_evaluation_without_king_and_pawns,post_move_white_knights,post_move_white_bishops,post_move_white_rooks,post_move_white_queens,post_move_white_kings,post_move_white_passed,post_move_white_threats,post_move_white_space,post_move_white_safe_space,post_move_black_pawns,post_move_black_pawns_and_king_safety_with_king_and_pawns,post_move_black_pawns_and_king_safety_without_king_and_pawns,post_move_black_pawns_and_king_evaluation_with_king_and_pawns,post_move_black_pawns_and_king_evaluation_without_king_and_pawns,post_move_black_knights,post_move_black_bishops,post_move_black_rooks,post_move_black_queens,post_move_black_kings,post_move_black_passed,post_move_black_threats,post_move_black_space,post_move_black_safe_space
31240,azvJbSw1,18,https://lichess.org/azvJbSw1#18,r2q3r/pbp1pkbp/1pn2npB/3p4/3P4/4P3/PPPNBPP1/R2QK1NR w KQ - 2 10,h6f4,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,w,97,53,0,53,0,0,15,18,15,0,0,8,24,0,0,1, 0,132, 54,1,56,-12,-1,21,0,-32,11,16,0,-5, 0,51, 40,38,60,0,15,2,0,-32,18,24,92,74,0,74,0,0,15,15,18,0,0,8,24,0,0,1, 0,132, 54,1,56,-11,-1,21,0,0,3,16,0,-5, 0,51, 40,49,60,8,15,13,0,0,7,24
31241,z49wbaeD,20,https://lichess.org/z49wbaeD#20,2rqk2r/pp1bppb1/2np1np1/7p/3NP1P1/2N1BP2/PPPQ3P/2KR1B1R w k h6 0 11,g4g5,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,w,81,26,0,26,0,0,18,12,18,0,0,8,24,0,0,-5, 0,113, 45,49,62,-14,15,11,0,-10,6,32,0,0, 0,95, 60,35,58,-12,-1,32,0,-10,0,24,103,23,0,23,0,0,18,9,21,0,0,8,24,0,0,-5, 0,93, 25,49,49,-14,15,11,0,-25,10,32,0,0, 0,95, 60,49,38,-12,-1,27,0,-65,-3,20
31242,3OICk4RQ,24,https://lichess.org/3OICk4RQ#24,rn2kb1r/1b2qp2/p1pp1p2/4p2p/1p2P3/1BNP1Q2/PPP1NPPP/3R1RK1 w kq - 0 13,c3a4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,w,98,125,-14,129,3,4,16,11,16,0,7,7,15,0,0,3, 0,108, 48,-19,2,-8,11,10,0,-57,8,25,0,4, 0,97, 26,-7,35,-22,8,-11,0,0,11,36,109,134,-14,138,3,-4,16,8,19,0,7,7,15,0,0,3, 0,108, 48,-78,11,-8,11,10,0,0,8,25,0,4, 0,97, 26,-7,35,-22,8,-11,0,0,8,36
31243,BEYvZvh2,56,https://lichess.org/BEYvZvh2#56,6k1/p2q2p1/2p1pp2/1rQ5/3PP3/3bBP1P/P5P1/R5K1 w - - 1 29,c5c3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,w,92,80,62,-15,0,5,7,5,15,3,0,0,22,0,0,20, 0,39, 9,0,28,11,37,8,0,-20,-9,21,0,22, 0,25, -5,0,27,40,30,-10,0,0,-5,16,160,81,62,-15,0,5,8,5,14,3,0,0,22,0,0,20, 0,39, 9,0,28,11,38,8,0,22,-6,21,0,22, 0,25, -5,0,27,51,37,0,0,-40,-12,16
31244,rBa5yTeC,26,https://lichess.org/rBa5yTeC#26,r1bq1r2/1p2ppkp/p2p2p1/2pPn3/4P1P1/2N2B1P/PPPQ1P2/R3K2R w KQ - 1 14,f3e2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,w,-112,-52,0,-43,0,-8,12,15,12,0,14,7,7,0,0,12, 0,126, 47,14,5,-16,13,-58,0,-28,12,36,0,5, 0,157, 46,22,-22,-10,8,-24,0,0,11,23,7,-39,0,-32,0,-8,12,10,17,0,14,7,7,0,0,12, 0,126, 47,14,10,-16,13,-5,0,17,9,33,0,5, 0,157, 46,22,-22,-10,8,-24,0,0,6,23
31245,tfgLhZ6d,26,https://lichess.org/tfgLhZ6d#26,r1b2rk1/2p2ppp/2n1p1q1/p1Pn4/1P6/PQ2P2P/1B3PP1/R3KBNR w KQ a6 0 14,b4b5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,w,89,-70,94,-159,1,2,8,11,24,2,0,7,22,0,0,-1, 0,147, 88,-2,97,-22,16,0,0,16,-3,29,0,-1, 0,97, 24,2,11,-18,25,9,0,-7,-4,18,188,-67,94,-156,1,2,11,8,24,2,0,7,22,0,0,-1, 0,179, 120,-2,93,-22,20,0,0,0,3,29,0,-1, 0,84, 11,9,0,-18,25,9,0,-65,-7,14
31246,2rKGYII5,39,https://lichess.org/2rKGYII5#39,r7/ppp4r/3k1n2/3p3b/5N2/3P1P2/PPP3PP/2KRR3 b - - 3 20,h5f7,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,b,51,-97,-60,15,0,-7,5,5,8,5,0,0,14,4,0,39, 0,40, 15,17,0,77,0,9,13,24,-10,12,0,-9, 0,15, -4,29,-9,69,0,-30,0,-35,-2,7,-77,-94,-60,16,0,-7,6,5,6,5,0,0,14,4,0,39, 0,40, 15,17,0,77,0,9,16,-25,-8,12,0,-9, 0,15, -4,29,26,62,0,-7,0,0,-2,7
31247,y2mzT5nD,34,https://lichess.org/y2mzT5nD#34,r4rk1/1pq2p2/p1nb1n1p/6p1/PP1P4/1QP2BP1/1B3P1P/3R1RK1 w - g6 0 18,c3c4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,w,-61,-239,-205,-3,6,-2,13,5,21,7,0,0,29,0,0,5, 0,118, 53,0,83,2,21,19,0,17,5,35,0,7, 0,74, 29,29,5,-4,12,10,0,-10,-2,21,-65,-231,-205,2,6,-2,13,7,18,5,0,0,29,0,0,5, 0,109, 44,0,93,2,23,19,0,19,5,38,0,7, 0,74, 29,34,14,-4,12,10,0,-10,0,21
31248,SSNia9GT,65,https://lichess.org/SSNia9GT#65,2r3k1/5pp1/p5bp/5P2/3BP3/P3K3/B5P1/8 b - - 0 33,g6h5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,b,-27,-232,-56,7,-42,8,5,0,3,0,13,0,0,0,0,-6, 0,59, 12,0,146,0,0,8,0,0,-1,6,0,30, 0,10, -16,0,-11,75,0,10,0,-91,0,4,-131,-236,-56,7,-42,8,5,0,3,0,13,0,0,0,0,-6, 0,59, 12,0,146,0,0,8,0,0,-1,6,0,30, 0,10, -16,0,2,75,0,8,0,0,-2,4
31249,kTlMYoqk,26,https://lichess.org/kTlMYoqk#26,r1b1k2r/pp1nqnb1/2p2pB1/3p3p/3P2pP/1NN3B1/PPP2PP1/R2QK2R w KQkq - 2 14,c3e2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,w,37,43,0,43,0,0,15,12,21,0,8,0,24,0,0,2, 0,29, 23,22,57,-22,-1,-91,0,0,3,28,0,3, 0,33, 65,15,-4,-22,17,5,0,-25,4,36,70,36,0,36,0,0,15,15,18,0,8,8,16,0,0,2, 0,29, 23,22,60,-22,2,-48,0,0,-1,28,0,3, 0,33, 65,15,-4,-22,15,5,0,-25,11,36
